Date,Time,Voltage,SC_Current
13/10/2019,20:32:13,0.03,-0.00
13/10/2019,20:35:13,0.03,-0.00
13/10/2019,20:38:13,0.01,-0.00
13/10/2019,20:41:13,0.02,-0.00
13/10/2019,20:44:13,0.04,-0.00
13/10/2019,20:47:12,0.03,0.01
13/10/2019,20:50:12,0.02,-0.00
13/10/2019,20:53:12,0.01,0.00
13/10/2019,20:56:12,0.00,-0.01
13/10/2019,20:59:12,0.00,0.01
13/10/2019,21:2:11,0.00,-0.00
13/10/2019,21:5:11,0.01,0.00
13/10/2019,21:8:11,0.01,-0.00
13/10/2019,21:11:11,0.01,0.00
13/10/2019,21:14:11,0.01,-0.00
13/10/2019,21:17:11,0.01,-0.00
13/10/2019,21:20:10,0.01,0.01
13/10/2019,21:23:10,0.01,0.00
13/10/2019,21:26:10,0.01,-0.00
13/10/2019,21:29:10,0.01,-0.00
13/10/2019,21:32:10,0.01,-0.00
13/10/2019,21:35:9,0.01,0.01
13/10/2019,21:38:9,0.02,0.00
13/10/2019,21:41:9,0.02,-0.01
13/10/2019,21:44:9,0.02,0.00
13/10/2019,21:47:9,0.03,-0.01
13/10/2019,21:50:9,0.02,-0.00
13/10/2019,21:53:8,0.02,-0.00
13/10/2019,21:56:8,0.00,0.00
13/10/2019,21:59:8,0.02,-0.01
13/10/2019,22:2:8,0.04,-0.01
13/10/2019,22:5:8,0.02,0.00
13/10/2019,22:8:7,0.02,0.00
13/10/2019,22:11:7,0.02,-0.00
13/10/2019,22:14:7,0.01,0.01
13/10/2019,22:17:7,0.02,0.00
13/10/2019,22:20:7,0.04,0.00
13/10/2019,22:23:6,0.03,0.00
13/10/2019,22:26:6,0.03,-0.01
13/10/2019,22:29:6,0.01,0.00
13/10/2019,22:32:6,0.04,0.00
13/10/2019,22:35:6,0.04,-0.00
13/10/2019,22:38:6,0.02,-0.00
13/10/2019,22:41:5,0.02,-0.00
13/10/2019,22:44:5,0.02,0.00
13/10/2019,22:47:5,0.01,-0.00
13/10/2019,22:50:5,0.03,-0.01
13/10/2019,22:53:5,0.03,0.01
13/10/2019,22:56:4,0.04,0.00
13/10/2019,22:59:4,0.05,0.01
13/10/2019,23:2:4,0.04,0.00
13/10/2019,23:5:4,0.03,-0.00
13/10/2019,23:8:4,0.01,0.00
13/10/2019,23:11:4,0.01,0.00
13/10/2019,23:14:3,0.01,0.00
13/10/2019,23:17:3,0.03,0.00
13/10/2019,23:20:3,0.02,0.00
13/10/2019,23:23:3,0.02,0.01
13/10/2019,23:26:3,0.03,-0.01
13/10/2019,23:29:2,0.03,0.00
13/10/2019,23:32:2,0.06,-0.01
13/10/2019,23:35:2,0.04,-0.01
13/10/2019,23:38:2,0.04,-0.00
13/10/2019,23:41:2,0.05,-0.01
13/10/2019,23:44:1,0.01,-0.00
13/10/2019,23:47:1,0.01,-0.00
13/10/2019,23:50:1,0.01,0.00
13/10/2019,23:53:1,0.01,-0.00
13/10/2019,23:56:1,0.01,-0.00
13/10/2019,23:59:1,0.01,-0.00
14/10/2019,0:2:0,0.01,0.00
14/10/2019,0:5:0,0.01,0.01
14/10/2019,0:8:0,0.01,0.00
14/10/2019,0:11:0,0.01,-0.01
14/10/2019,0:14:0,0.01,-0.00
14/10/2019,0:16:59,0.02,-0.00
14/10/2019,0:19:59,0.01,-0.00
14/10/2019,0:22:59,0.01,0.01
14/10/2019,0:25:59,0.02,-0.00
14/10/2019,0:28:59,0.02,-0.01
14/10/2019,0:31:59,0.02,-0.01
14/10/2019,0:34:58,0.02,0.01
14/10/2019,0:37:58,0.02,0.00
14/10/2019,0:40:58,0.03,0.01
14/10/2019,0:43:58,0.03,-0.01
14/10/2019,0:46:58,0.03,0.01
14/10/2019,0:49:57,0.03,-0.01
14/10/2019,0:52:57,0.02,-0.00
14/10/2019,0:55:57,0.03,0.01
14/10/2019,0:58:57,0.01,0.00
14/10/2019,1:1:57,0.02,0.01
14/10/2019,1:4:56,0.01,-0.00
14/10/2019,1:7:56,0.02,-0.01
14/10/2019,1:10:56,0.02,0.00
14/10/2019,1:13:56,0.01,0.00
14/10/2019,1:16:56,0.02,0.00
14/10/2019,1:19:56,0.01,-0.00
14/10/2019,1:22:55,0.01,-0.01
14/10/2019,1:25:55,0.02,0.01
14/10/2019,1:28:55,0.01,0.00
14/10/2019,1:31:55,0.01,0.00
14/10/2019,1:34:55,0.02,0.00
14/10/2019,1:37:54,0.02,-0.00
14/10/2019,1:40:54,0.02,-0.00
14/10/2019,1:43:54,0.01,-0.01
14/10/2019,1:46:54,0.01,-0.00
14/10/2019,1:49:54,0.02,-0.00
14/10/2019,1:52:54,0.02,0.01
14/10/2019,1:55:53,0.03,-0.00
14/10/2019,1:58:53,0.03,-0.00
14/10/2019,2:1:53,0.01,0.00
14/10/2019,2:4:53,0.02,0.01
14/10/2019,2:7:53,0.03,0.00
14/10/2019,2:10:52,0.04,-0.00
14/10/2019,2:13:52,0.03,0.00
14/10/2019,2:16:52,0.03,-0.00
14/10/2019,2:19:52,0.02,-0.00
14/10/2019,2:22:52,0.03,-0.00
14/10/2019,2:25:51,0.03,-0.01
14/10/2019,2:28:51,0.02,-0.00
14/10/2019,2:31:51,0.02,-0.01
14/10/2019,2:34:51,0.01,-0.00
14/10/2019,2:37:51,0.02,0.00
14/10/2019,2:40:51,0.04,-0.00
14/10/2019,2:43:50,0.04,0.00
14/10/2019,2:46:50,0.03,0.01
14/10/2019,2:49:50,0.02,-0.00
14/10/2019,2:52:50,0.00,-0.00
14/10/2019,2:55:50,0.00,-0.01
14/10/2019,2:58:49,0.00,0.00
14/10/2019,3:1:49,0.00,-0.01
14/10/2019,3:4:49,0.01,-0.00
14/10/2019,3:7:49,0.00,0.01
14/10/2019,3:10:49,0.00,0.01
14/10/2019,3:13:48,0.00,0.00
14/10/2019,3:16:48,0.00,-0.00
14/10/2019,3:19:48,0.01,-0.00
14/10/2019,3:22:48,0.00,0.00
14/10/2019,3:25:48,0.00,-0.01
14/10/2019,3:28:48,0.00,-0.01
14/10/2019,3:31:47,0.00,0.01
14/10/2019,3:34:47,0.00,-0.00
14/10/2019,3:37:47,0.00,0.00
14/10/2019,3:40:47,0.00,0.00
14/10/2019,3:43:47,0.00,0.00
14/10/2019,3:46:46,0.00,0.00
14/10/2019,3:49:46,0.00,-0.01
14/10/2019,3:52:46,0.00,0.01
14/10/2019,3:55:46,0.01,-0.00
14/10/2019,3:58:46,0.00,-0.00
14/10/2019,4:1:45,0.00,-0.00
14/10/2019,4:4:45,0.02,-0.00
14/10/2019,4:7:45,0.03,0.01
14/10/2019,4:10:45,0.03,-0.01
14/10/2019,4:13:45,0.03,0.00
14/10/2019,4:16:45,0.03,0.00
14/10/2019,4:19:44,0.03,0.01
14/10/2019,4:22:44,0.03,-0.00
14/10/2019,4:25:44,0.03,-0.01
14/10/2019,4:28:44,0.05,0.00
14/10/2019,4:31:44,0.09,-0.00
14/10/2019,4:34:43,0.23,0.01
14/10/2019,4:37:43,0.56,-0.00
14/10/2019,4:40:43,1.26,0.00
14/10/2019,4:43:43,2.61,-0.00
14/10/2019,4:46:43,4.79,-0.00
14/10/2019,4:49:42,7.43,-0.01
14/10/2019,4:52:42,9.72,0.01
14/10/2019,4:55:42,11.86,0.01
14/10/2019,4:58:42,13.45,0.02
14/10/2019,5:1:42,14.70,0.03
14/10/2019,5:4:42,15.14,0.03
14/10/2019,5:7:41,15.79,0.03
14/10/2019,5:10:41,16.67,0.06
14/10/2019,5:13:41,17.70,0.11
14/10/2019,5:16:41,17.67,0.10
14/10/2019,5:19:41,18.06,0.13
14/10/2019,5:22:40,18.01,0.12
14/10/2019,5:25:40,18.11,0.14
14/10/2019,5:28:40,18.46,0.18
14/10/2019,5:31:40,18.94,0.25
14/10/2019,5:34:40,19.31,0.35
14/10/2019,5:37:39,19.11,0.31
14/10/2019,5:40:39,19.04,0.28
14/10/2019,5:43:39,19.03,0.29
14/10/2019,5:46:39,19.29,0.37
14/10/2019,5:49:39,18.43,0.19
14/10/2019,5:52:38,19.01,0.30
14/10/2019,5:55:38,19.11,0.32
14/10/2019,5:58:38,19.45,0.41
14/10/2019,6:1:38,19.81,0.58
14/10/2019,6:4:38,19.79,0.58
14/10/2019,6:7:38,20.06,0.78
14/10/2019,6:10:37,20.10,0.85
14/10/2019,6:13:37,19.94,0.76
14/10/2019,6:16:37,19.62,0.59
14/10/2019,6:19:37,19.75,0.66
14/10/2019,6:22:37,20.02,0.84
14/10/2019,6:25:36,20.22,1.06
14/10/2019,6:28:36,19.76,0.72
14/10/2019,6:31:36,19.62,0.64
14/10/2019,6:34:36,20.00,0.91
14/10/2019,6:37:36,20.30,1.24
14/10/2019,6:40:35,19.65,0.69
14/10/2019,6:43:35,19.55,0.63
14/10/2019,6:46:35,19.71,0.69
14/10/2019,6:49:35,19.53,0.58
14/10/2019,6:52:35,19.51,0.56
14/10/2019,6:55:35,19.71,0.68
14/10/2019,6:58:34,20.28,1.17
14/10/2019,7:1:34,20.21,1.19
14/10/2019,7:4:34,20.04,1.08
14/10/2019,7:7:34,19.92,0.96
14/10/2019,7:10:34,19.64,0.75
14/10/2019,7:13:33,19.60,0.68
14/10/2019,7:16:33,19.80,0.77
14/10/2019,7:19:33,19.84,0.78
14/10/2019,7:22:33,19.87,0.79
14/10/2019,7:25:33,20.02,0.91
14/10/2019,7:28:32,20.51,1.49
14/10/2019,7:31:32,20.77,2.32
14/10/2019,7:34:32,20.86,2.66
14/10/2019,7:37:32,20.59,2.35
14/10/2019,7:40:32,20.33,2.00
14/10/2019,7:43:32,20.54,2.39
14/10/2019,7:46:31,20.05,2.15
14/10/2019,7:49:31,20.50,3.54
14/10/2019,7:52:31,19.99,2.18
14/10/2019,7:55:31,19.73,1.73
14/10/2019,7:58:31,20.42,3.00
14/10/2019,8:1:30,20.18,2.17
14/10/2019,8:4:30,20.28,2.51
14/10/2019,8:7:30,20.01,1.74
14/10/2019,8:10:30,19.85,1.29
14/10/2019,8:13:30,19.81,1.17
14/10/2019,8:16:29,20.50,2.06
14/10/2019,8:19:29,20.35,1.89
14/10/2019,8:22:29,20.46,2.09
14/10/2019,8:25:29,20.76,2.70
14/10/2019,8:28:29,20.49,2.38
14/10/2019,8:31:29,20.39,2.11
